date,date,event
2020-01-01,2020-01-01,19781
2020-01-02,2020-01-02,21640
2020-01-03,2020-01-03,20861
2020-01-04,2020-01-04,19152
2020-01-05,2020-01-05,21716
2020-01-06,2020-01-06,19717
2020-01-07,2020-01-07,18226
2020-01-08,2020-01-08,18616
2020-01-09,2020-01-09,20549
2020-01-10,2020-01-10,89831
2020-01-11,2020-01-11,58169
2020-01-12,2020-01-12,39468
2020-01-13,2020-01-13,49970
2020-01-14,2020-01-14,53783
2020-01-15,2020-01-15,48189
2020-01-16,2020-01-16,42562
2020-01-17,2020-01-17,38765
2020-01-18,2020-01-18,37008
2020-01-19,2020-01-19,36544
2020-01-20,2020-01-20,34395
2020-01-21,2020-01-21,32401
2020-01-22,2020-01-22,27933
2020-01-23,2020-01-23,36014
2020-01-24,2020-01-24,29918
2020-01-25,2020-01-25,28124
2020-01-26,2020-01-26,27168
2020-01-27,2020-01-27,25510
2020-01-28,2020-01-28,27409
2020-01-29,2020-01-29,31282
2020-01-30,2020-01-30,34866
2020-01-31,2020-01-31,32840
2020-02-01,2020-02-01,30424
2020-02-02,2020-02-02,30409
2020-02-03,2020-02-03,28785
2020-02-04,2020-02-04,28060
2020-02-05,2020-02-05,27421
2020-02-06,2020-02-06,28317
2020-02-07,2020-02-07,26674
2020-02-08,2020-02-08,27336
2020-02-09,2020-02-09,28061
2020-02-10,2020-02-10,26455
2020-02-11,2020-02-11,24991
2020-02-12,2020-02-12,27546
2020-02-13,2020-02-13,34365
2020-02-14,2020-02-14,54233
2020-02-15,2020-02-15,37667
2020-02-16,2020-02-16,33220
2020-02-17,2020-02-17,30959
2020-02-18,2020-02-18,30407
2020-02-19,2020-02-19,30923
2020-02-20,2020-02-20,26322
2020-02-21,2020-02-21,45658
2020-02-22,2020-02-22,39086
2020-02-23,2020-02-23,30463
2020-02-24,2020-02-24,27412
2020-02-25,2020-02-25,24798
2020-02-26,2020-02-26,23720
2020-02-27,2020-02-27,23240
2020-02-28,2020-02-28,23169
2020-02-29,2020-02-29,24604
2020-03-01,2020-03-01,24973
2020-03-02,2020-03-02,22268
2020-03-03,2020-03-03,21712
2020-03-04,2020-03-04,21045
2020-03-05,2020-03-05,20982
2020-03-06,2020-03-06,63264
2020-03-07,2020-03-07,49032
2020-03-08,2020-03-08,28042
2020-03-09,2020-03-09,25790
2020-03-10,2020-03-10,25313
2020-03-11,2020-03-11,24037
2020-03-12,2020-03-12,25038
2020-03-13,2020-03-13,22301
2020-03-14,2020-03-14,22563
2020-03-15,2020-03-15,22341
2020-03-16,2020-03-16,20553
2020-03-17,2020-03-17,22105
2020-03-18,2020-03-18,25620
2020-03-19,2020-03-19,26367
2020-03-20,2020-03-20,25365
2020-03-21,2020-03-21,24100
2020-03-22,2020-03-22,23635
2020-03-23,2020-03-23,31548
2020-03-24,2020-03-24,34524
2020-03-25,2020-03-25,34814
2020-03-26,2020-03-26,32717
2020-03-27,2020-03-27,27736
2020-03-28,2020-03-28,22741
2020-03-29,2020-03-29,21001
2020-03-30,2020-03-30,20306
2020-03-31,2020-03-31,19003
