date_reg_week,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2019-12-30,,,,,,,,,,,,,,5174.0,2852.0,2538.0,2415.0,2197.0,1999.0,2063.0,2020.0,1835.0,1875.0,1750.0,1649.0,1747.0,935.0
2020-01-06,,,,,,,,,,,,,2109.0,12305.0,5274.0,4202.0,3652.0,3205.0,3285.0,3283.0,2790.0,2963.0,2553.0,2397.0,2436.0,1097.0,
2020-01-13,,,,,,,,,,,,1006.0,2556.0,14712.0,4416.0,3516.0,2948.0,3086.0,2890.0,2352.0,2535.0,2057.0,1903.0,1964.0,827.0,,
2020-01-20,,,,,,,,,,,552.0,1218.0,1728.0,6392.0,2238.0,1805.0,1859.0,1749.0,1432.0,1526.0,1254.0,1132.0,1180.0,479.0,,,
2020-01-27,,,,,,,,,,306.0,680.0,864.0,954.0,6092.0,1841.0,1731.0,1528.0,1267.0,1273.0,1041.0,968.0,993.0,388.0,,,,
2020-02-03,,,,,,,,,182.0,457.0,500.0,531.0,843.0,5080.0,1728.0,1466.0,1123.0,1174.0,970.0,858.0,860.0,306.0,,,,,
2020-02-10,,,,,,,,168.0,455.0,515.0,439.0,565.0,769.0,6421.0,1896.0,1339.0,1426.0,1097.0,941.0,968.0,329.0,,,,,,
2020-02-17,,,,,,,149.0,369.0,405.0,368.0,405.0,475.0,983.0,5130.0,1474.0,1405.0,1066.0,867.0,911.0,334.0,,,,,,,
2020-02-24,,,,,,83.0,212.0,203.0,184.0,204.0,263.0,411.0,652.0,2605.0,962.0,761.0,654.0,652.0,237.0,,,,,,,,
2020-03-02,,,,,102.0,258.0,253.0,246.0,204.0,211.0,451.0,505.0,483.0,4512.0,939.0,733.0,720.0,247.0,,,,,,,,,
2020-03-09,,,,64.0,150.0,132.0,104.0,119.0,133.0,180.0,253.0,227.0,471.0,2222.0,701.0,734.0,206.0,,,,,,,,,,
2020-03-16,,,50.0,125.0,113.0,81.0,81.0,113.0,137.0,190.0,154.0,242.0,304.0,2778.0,730.0,208.0,,,,,,,,,,,
2020-03-23,,58.0,142.0,117.0,76.0,102.0,97.0,136.0,153.0,137.0,229.0,268.0,431.0,4017.0,425.0,,,,,,,,,,,,
2020-03-30,9.0,23.0,25.0,15.0,18.0,8.0,24.0,24.0,26.0,32.0,30.0,49.0,107.0,870.0,,,,,,,,,,,,,
